filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,effexptime,PHOTMJSR,sb_mjsr
F444W,4.408,1.029,2022-06-29T02:27:46.566Z,NRCALONG,2048,2048,0.7468237280845642,0.7509505,jw01324001001_09201_00001_nrcalong_rate.fits,1,1,NIRCAM,1159.571,0.3925,0.29312831327319144
F200W,1.989,0.457,2022-06-29T09:56:02.144Z,NRCA2,2048,2048,0.0904136151075363,0.0901911,jw01324001001_17201_00004_nrca2_rate.fits,1,1,NIRCAM,1159.571,2.0807,0.18812360895425081
F150W,1.501,0.318,2022-06-29T06:41:20.556Z,NRCA4,2048,2048,0.1149134635925293,0.11456026,jw01324001001_15201_00001_nrca4_rate.fits,1,1,NIRCAM,1159.571,2.1021,0.24155959181785586
F090W,0.902,0.194,2022-06-29T02:07:22.389Z,NRCB3,2048,2048,0.06679191,0.066302985,jw01324001001_06201_00003_nrcb3_rate.fits,1,1,NIRCAM,311.366,3.4248,0.22874893336799998
F115W,1.154,0.225,2022-06-29T03:13:56.612Z,NRCA2,2048,2048,0.0742880329489708,0.07415732,jw01324001001_09201_00003_nrca2_rate.fits,1,1,NIRCAM,1159.571,3.1012,0.23038204778134821
F150W,1.501,0.318,2022-06-29T06:32:12.922Z,NRCA3,2048,2048,0.1022872477769851,0.101913124,jw01324001001_14201_00001_nrca3_rate.fits,1,1,NIRCAM,311.366,2.2037,0.22541040792614206
F090W,0.902,0.194,2022-06-28T22:36:45.204Z,NRCB3,2048,2048,0.0667524486780166,0.066483855,jw01324001001_03201_00002_nrcb3_rate.fits,1,1,NIRCAM,1159.571,3.4248,0.22861378623247122
F090W,0.902,0.194,2022-06-28T22:59:39.603Z,NRCA1,2048,2048,0.0667472034692764,0.066695444,jw01324001001_03201_00003_nrca1_rate.fits,1,1,NIRCAM,1159.571,2.9961,0.19998129631429903
F115W,1.154,0.225,2022-06-29T04:32:40.639Z,NRCB1,2048,2048,0.0752845630049705,0.07512265,jw01324001001_11201_00001_nrcb1_rate.fits,1,1,NIRCAM,1159.571,3.2719,0.24632356169596298
F356W,3.568,0.781,2022-06-29T08:29:47.059Z,NRCALONG,2048,2048,0.261728972196579,0.2611245,jw01324001001_16201_00003_nrcalong_rate.fits,1,1,NIRCAM,311.366,0.4047,0.10592171504795551
F090W,0.902,0.194,2022-06-29T01:28:00.266Z,NRCB1,2048,2048,0.0634876936674118,0.06331988,jw01324001001_05201_00004_nrcb1_rate.fits,1,1,NIRCAM,1159.571,3.564,0.22627014023065567
F115W,1.154,0.225,2022-06-29T02:27:46.502Z,NRCA1,2048,2048,0.07789245,0.07781923,jw01324001001_09201_00001_nrca1_rate.fits,1,1,NIRCAM,1159.571,2.9628,0.23077975086000002
F090W,0.902,0.194,2022-06-28T22:13:50.997Z,NRCA2,2048,2048,0.0710137784481048,0.070948005,jw01324001001_03201_00001_nrca2_rate.fits,1,1,NIRCAM,1159.571,3.2824,0.2330956263780592
