filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,effexptime,PHOTMJSR,sb_mjsr
F150W,1.501,0.318,2022-06-07T03:27:34.562Z,NRCB2,2048,2048,0.08526452,0.08438577,jw02736001001_02103_00003_nrcb2_rate.fits,1,1,NIRCAM,837.468,2.3054,0.196568824408
F200W,1.989,0.457,2022-06-07T06:20:15.896Z,NRCA1,2048,2048,0.07946476,0.07892692,jw02736001001_02105_00005_nrca1_rate.fits,1,1,NIRCAM,837.468,1.8917,0.15032348649199997
F150W,1.501,0.318,2022-06-07T04:59:55.037Z,NRCA2,2048,2048,0.08364847,0.08328428,jw02736001001_02103_00009_nrca2_rate.fits,1,1,NIRCAM,837.468,2.3836,0.19938449309200001
F200W,1.989,0.457,2022-06-07T06:04:52.185Z,NRCB3,2048,2048,0.0848031044006347,0.08395111,jw02736001001_02105_00004_nrcb3_rate.fits,1,1,NIRCAM,837.468,1.9572,0.16597663593292222
F150W,1.501,0.318,2022-06-07T02:56:26.660Z,NRCA4,2048,2048,0.093557484,0.09315262,jw02736001001_02103_00001_nrca4_rate.fits,1,1,NIRCAM,837.468,2.1021,0.1966671871164
F090W,0.902,0.194,2022-06-07T00:34:53.805Z,NRCA2,2048,2048,0.0579448975622653,0.057767063,jw02736001001_02101_00001_nrca2_rate.fits,1,1,NIRCAM,837.468,3.2824,0.1901983317583796
F200W,1.989,0.457,2022-06-07T06:20:15.576Z,NRCB4,2048,2048,0.0891439318656921,0.08763833,jw02736001001_02105_00005_nrcb4_rate.fits,1,1,NIRCAM,837.468,1.7715,0.15791847530007355
F090W,0.902,0.194,2022-06-07T01:05:40.587Z,NRCA1,2048,2048,0.0647911429405212,0.06455034,jw02736001001_02101_00003_nrca1_rate.fits,1,1,NIRCAM,837.468,2.9961,0.19412074336409557
F090W,0.902,0.194,2022-06-07T02:22:37.350Z,NRCA3,2048,2048,0.06239535,0.062182583,jw02736001001_02101_00008_nrca3_rate.fits,1,1,NIRCAM,837.468,2.954,0.18431586390000002
F090W,0.902,0.194,2022-06-07T00:50:16.940Z,NRCB3,2048,2048,0.054691944271326,0.054238,jw02736001001_02101_00002_nrcb3_rate.fits,1,1,NIRCAM,837.468,3.4248,0.18730897074043729
