filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,PHOTMJSR,sb_mjsr
F200W,1.989,0.457,2022-05-02T19:04:54.143Z,NRCB3,2048,2048,1.1866309642791748,1.0369375,jw01448001001_04101_00002_nrcb3_rate.fits,1,1,NIRCAM,1.9572,2.322474123287201
F200W,1.989,0.457,2022-04-29T11:48:33.869Z,NRCB4,2048,2048,0.20429182,0.20357999,jw01448007001_04101_00003_nrcb4_rate.fits,7,1,NIRCAM,1.7715,0.36190295913000003
F115W,1.154,0.225,2022-04-29T07:07:25.790Z,NRCB3,2048,2048,0.0652975961565971,0.06480321,jw01448002001_06101_00002_nrcb3_rate.fits,2,1,NIRCAM,3.1863,0.20805773063376534
F277W,2.762,0.683,2022-04-29T09:23:21.110Z,NRCBLONG,2048,2048,4.7057743,3.740946,jw01448008001_02101_00003_nrcblong_rate.fits,8,1,NIRCAM,0.4175,1.9646607702499999
F070W,0.704,0.132,2022-04-29T06:39:52.288Z,NRCB4,2048,2048,0.0484632700681686,0.047685325,jw01448002001_02101_00003_nrcb4_rate.fits,2,1,NIRCAM,3.798,0.18406349971890434
F277W,2.762,0.683,2022-05-02T18:45:23.840Z,NRCBLONG,2048,2048,5.673786163330078,4.6188,jw01448001001_02101_00001_nrcblong_rate.fits,1,1,NIRCAM,0.4175,2.3688057231903077
F070W,0.704,0.132,2022-05-06T02:47:45.191Z,NRCB3,2048,2048,0.04217855,0.041136194,jw01448004001_02101_00002_nrcb3_rate.fits,4,1,NIRCAM,4.4344,0.18703656212000003
F200W,1.989,0.457,2022-04-29T09:30:52.053Z,NRCB4,2048,2048,1.227429747581482,1.0223465,jw01448008001_04101_00001_nrcb4_rate.fits,8,1,NIRCAM,1.7715,2.1743917978405953
F200W,1.989,0.457,2022-05-06T05:26:34.653Z,NRCB2,2048,2048,0.0756744891405105,0.07446812,jw01448006001_04101_00002_nrcb2_rate.fits,6,1,NIRCAM,1.9519,0.14770903535336244
F150W,1.501,0.318,2022-04-29T07:19:03.709Z,NRCB4,2048,2048,0.08897325,0.08816178,jw01448002001_08101_00001_nrcb4_rate.fits,2,1,NIRCAM,2.0288,0.1805089296
