filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,sb_mjsr
F770W,7.7,2.2,2022-05-03T00:26:28.232Z,MIRIMAGE,1024,1032,5.006161212921143,5.006946086883545,jw01448005001_04201_00002_mirimage_fixed_cal.fits,5,1,MIRI,5.006161212921143
F770W,7.7,2.2,2022-05-03T00:22:29.576Z,MIRIMAGE,1024,1032,4.982539415359497,4.983630657196045,jw01448005001_04201_00001_mirimage_fixed_cal.fits,5,1,MIRI,4.982539415359497
F770W,7.7,2.2,2022-04-29T06:55:18.331Z,MIRIMAGE,1024,1032,5.05605149269104,5.056507587432861,jw01448002001_04201_00003_mirimage_fixed_cal.fits,2,1,MIRI,5.05605149269104
F770W,7.7,2.2,2022-05-02T19:08:57.114Z,MIRIMAGE,1024,1032,80.5906867980957,77.59339904785156,jw01448001001_04201_00003_mirimage_fixed_cal.fits,1,1,MIRI,80.5906867980957
F770W,7.7,2.2,2022-05-06T05:22:35.129Z,MIRIMAGE,1024,1032,5.192350387573242,5.193740367889404,jw01448006001_04201_00001_mirimage_fixed_cal.fits,6,1,MIRI,5.192350387573242
F770W,7.7,2.2,2022-04-29T11:48:37.993Z,MIRIMAGE,1024,1032,13.110780239105225,13.110662460327148,jw01448007001_04201_00003_mirimage_fixed_cal.fits,7,1,MIRI,13.110780239105225
F770W,7.7,2.2,2022-05-05T23:58:35.468Z,MIRIMAGE,1024,1032,4.959055662155151,4.961592674255371,jw01448003001_04201_00001_mirimage_fixed_cal.fits,3,1,MIRI,4.959055662155151
F770W,7.7,2.2,2022-05-06T03:07:20.705Z,MIRIMAGE,1024,1032,5.286330699920654,5.288504123687744,jw01448004001_04201_00003_mirimage_fixed_cal.fits,4,1,MIRI,5.286330699920654
F1280W,12.8,2.4,2022-04-29T10:06:11.183Z,MIRIMAGE,1024,1032,78.69889450073242,78.88072967529297,jw01448008001_08201_00002_mirimage_fixed_cal.fits,8,1,MIRI,78.69889450073242
F1280W,12.8,2.4,2022-04-29T12:12:21.672Z,MIRIMAGE,1024,1032,54.621124267578125,54.6135139465332,jw01448007001_08201_00001_mirimage_fixed_cal.fits,7,1,MIRI,54.621124267578125
F1280W,12.8,2.4,2022-05-06T03:30:50.432Z,MIRIMAGE,1024,1032,23.572659492492676,23.589365005493164,jw01448004001_08201_00001_mirimage_fixed_cal.fits,4,1,MIRI,23.572659492492676
F1280W,12.8,2.4,2022-05-06T00:38:11.018Z,MIRIMAGE,1024,1032,24.13479709625244,24.14506721496582,jw01448003001_08201_00003_mirimage_fixed_cal.fits,3,1,MIRI,24.13479709625244
F1280W,12.8,2.4,2022-04-29T07:18:56.377Z,MIRIMAGE,1024,1032,24.47397232055664,24.478527069091797,jw01448002001_08201_00001_mirimage_fixed_cal.fits,2,1,MIRI,24.47397232055664
F1280W,12.8,2.4,2022-05-03T01:01:53.926Z,MIRIMAGE,1024,1032,23.87864875793457,23.888802528381348,jw01448005001_08201_00003_mirimage_fixed_cal.fits,5,1,MIRI,23.87864875793457
F1280W,12.8,2.4,2022-05-06T06:02:05.047Z,MIRIMAGE,1024,1032,23.704862594604492,23.716453552246097,jw01448006001_08201_00003_mirimage_fixed_cal.fits,6,1,MIRI,23.704862594604492
F1280W,12.8,2.4,2022-05-02T19:32:13.017Z,MIRIMAGE,1024,1032,90.77483367919922,88.67655944824219,jw01448001001_08201_00001_mirimage_fixed_cal.fits,1,1,MIRI,90.77483367919922
F1280W,12.8,2.4,2022-05-02T19:36:08.857Z,MIRIMAGE,1024,1032,90.81968688964844,88.73670196533203,jw01448001001_08201_00002_mirimage_fixed_cal.fits,1,1,MIRI,90.81968688964844
F1280W,12.8,2.4,2022-04-29T07:23:00.601Z,MIRIMAGE,1024,1032,24.445080757141113,24.449024200439453,jw01448002001_08201_00002_mirimage_fixed_cal.fits,2,1,MIRI,24.445080757141113
F1280W,12.8,2.4,2022-05-06T03:34:54.656Z,MIRIMAGE,1024,1032,23.602006912231445,23.617990493774418,jw01448004001_08201_00002_mirimage_fixed_cal.fits,4,1,MIRI,23.602006912231445
F1280W,12.8,2.4,2022-04-29T12:16:23.080Z,MIRIMAGE,1024,1032,54.67580986022949,54.66749572753906,jw01448007001_08201_00002_mirimage_fixed_cal.fits,7,1,MIRI,54.67580986022949
F1280W,12.8,2.4,2022-04-29T10:02:06.960Z,MIRIMAGE,1024,1032,78.56428527832031,78.76277923583984,jw01448008001_08201_00001_mirimage_fixed_cal.fits,8,1,MIRI,78.56428527832031
F1280W,12.8,2.4,2022-05-06T05:58:09.143Z,MIRIMAGE,1024,1032,23.69746971130371,23.708171844482425,jw01448006001_08201_00002_mirimage_fixed_cal.fits,6,1,MIRI,23.69746971130371
F1280W,12.8,2.4,2022-05-03T00:58:00.838Z,MIRIMAGE,1024,1032,23.86790180206299,23.877710342407227,jw01448005001_08201_00002_mirimage_fixed_cal.fits,5,1,MIRI,23.86790180206299
F1280W,12.8,2.4,2022-05-06T00:34:12.298Z,MIRIMAGE,1024,1032,24.124263763427734,24.134002685546875,jw01448003001_08201_00002_mirimage_fixed_cal.fits,3,1,MIRI,24.124263763427734
F1280W,12.8,2.4,2022-04-29T10:10:07.023Z,MIRIMAGE,1024,1032,78.67130279541016,78.88028717041016,jw01448008001_08201_00003_mirimage_fixed_cal.fits,8,1,MIRI,78.67130279541016
F1280W,12.8,2.4,2022-04-29T12:20:18.984Z,MIRIMAGE,1024,1032,54.68618392944336,54.67863845825195,jw01448007001_08201_00003_mirimage_fixed_cal.fits,7,1,MIRI,54.68618392944336
F1280W,12.8,2.4,2022-05-06T00:30:10.891Z,MIRIMAGE,1024,1032,24.097644805908203,24.10765838623047,jw01448003001_08201_00001_mirimage_fixed_cal.fits,3,1,MIRI,24.097644805908203
F1280W,12.8,2.4,2022-05-06T03:38:47.744Z,MIRIMAGE,1024,1032,23.615437507629395,23.631929397583008,jw01448004001_08201_00003_mirimage_fixed_cal.fits,4,1,MIRI,23.615437507629395
F1280W,12.8,2.4,2022-05-03T00:53:48.294Z,MIRIMAGE,1024,1032,23.838019371032715,23.847975730895996,jw01448005001_08201_00001_mirimage_fixed_cal.fits,5,1,MIRI,23.838019371032715
F1280W,12.8,2.4,2022-04-29T07:26:59.257Z,MIRIMAGE,1024,1032,24.45075225830078,24.454672813415527,jw01448002001_08201_00003_mirimage_fixed_cal.fits,2,1,MIRI,24.45075225830078
F1280W,12.8,2.4,2022-05-02T19:39:59.193Z,MIRIMAGE,1024,1032,91.01582717895508,88.8743667602539,jw01448001001_08201_00003_mirimage_fixed_cal.fits,1,1,MIRI,91.01582717895508
F1280W,12.8,2.4,2022-05-06T05:54:13.303Z,MIRIMAGE,1024,1032,23.67597007751465,23.687591552734375,jw01448006001_08201_00001_mirimage_fixed_cal.fits,6,1,MIRI,23.67597007751465
F200W,1.989,0.457,2022-05-06T04:31:43.188Z,NIS,2048,2048,0.13896304,0.1376038,jw01448014001_02106_00001_nis_cal.fits,14,1,NIRISS,0.13896304
F115W,1.154,0.225,2022-05-06T00:55:59.777Z,NIS,2048,2048,0.15522641,0.15467668,jw01448013001_02101_00001_nis_cal.fits,13,1,NIRISS,0.15522641
F115W,1.154,0.225,2022-05-06T10:08:00.065Z,NIS,2048,2048,0.17949483,0.17794396,jw01448016001_02101_00001_nis_cal.fits,16,1,NIRISS,0.17949483
F200W,1.989,0.457,2022-05-03T05:34:23.566Z,NIS,2048,2048,0.1502209,0.14853573,jw01448015001_02106_00001_nis_cal.fits,15,1,NIRISS,0.1502209
F115W,1.154,0.225,2022-04-29T07:45:09.007Z,NIS,2048,2048,0.16914205,0.1685328,jw01448012001_02101_00001_nis_cal.fits,12,1,NIRISS,0.16914205
F115W,1.154,0.225,2022-05-06T03:56:24.598Z,NIS,2048,2048,0.18426731,0.18317564,jw01448014001_02101_00001_nis_cal.fits,14,1,NIRISS,0.18426731
F200W,1.989,0.457,2022-05-06T10:44:06.846Z,NIS,2048,2048,0.13333264,0.13180918,jw01448016001_02106_00001_nis_cal.fits,16,1,NIRISS,0.13333264
F200W,1.989,0.457,2022-05-06T01:31:43.071Z,NIS,2048,2048,0.12637666,0.12574047,jw01448013001_02106_00001_nis_cal.fits,13,1,NIRISS,0.12637666
F115W,1.154,0.225,2022-05-03T04:59:00.816Z,NIS,2048,2048,0.18359807,0.18187538,jw01448015001_02101_00001_nis_cal.fits,15,1,NIRISS,0.18359807
F200W,1.989,0.457,2022-04-29T08:20:37.965Z,NIS,2048,2048,0.13958329,0.13887429,jw01448012001_02106_00001_nis_cal.fits,12,1,NIRISS,0.13958329
